Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Type,Maturity,index
AMZN231208P00109000,2023-11-30 11:51AM EST,109.0,0.01,0.0,0.01,0.0,-,10.0,1019,187.50%,Put,2023-12-08,76
AMZN231208P00110000,2023-12-05 10:10AM EST,110.0,0.01,0.0,0.01,0.0,-,20.0,1083,181.25%,Put,2023-12-08,77
AMZN231208P00113000,2023-11-28 9:53AM EST,113.0,0.01,0.0,0.01,0.0,-,54.0,136,168.75%,Put,2023-12-08,80
AMZN231208P00115000,2023-12-04 10:35AM EST,115.0,0.01,0.0,0.01,0.0,-,302.0,631,156.25%,Put,2023-12-08,82
AMZN231208P00117000,2023-12-04 9:38AM EST,117.0,0.01,0.0,0.01,0.0,-,25.0,583,146.88%,Put,2023-12-08,84
AMZN231208P00118000,2023-12-04 9:42AM EST,118.0,0.01,0.0,0.01,0.0,-,165.0,381,143.75%,Put,2023-12-08,85
AMZN231208P00121000,2023-12-04 3:36PM EST,121.0,0.01,0.0,0.01,0.0,-,51.0,81,125.00%,Put,2023-12-08,88
AMZN231208P00122000,2023-12-06 2:18PM EST,122.0,0.01,0.0,0.01,0.0,-,12.0,347,121.88%,Put,2023-12-08,89
AMZN231208P00124000,2023-12-04 11:37AM EST,124.0,0.01,0.0,0.01,0.0,-,242.0,701,112.50%,Put,2023-12-08,91
AMZN231208P00125000,2023-12-07 11:41AM EST,125.0,0.01,0.0,0.01,0.0,-,20.0,1605,106.25%,Put,2023-12-08,92
AMZN231208P00126000,2023-12-05 1:14PM EST,126.0,0.01,0.0,0.01,0.0,-,37.0,580,103.13%,Put,2023-12-08,93
AMZN231208P00127000,2023-12-05 10:52AM EST,127.0,0.01,0.0,0.01,0.0,-,789.0,1137,96.88%,Put,2023-12-08,94
AMZN231208P00129000,2023-12-07 10:40AM EST,129.0,0.01,0.0,0.01,0.0,-,7.0,3556,87.50%,Put,2023-12-08,96
AMZN231208P00130000,2023-12-07 2:13PM EST,130.0,0.01,0.0,0.01,0.0,-,21.0,1822,81.25%,Put,2023-12-08,97
AMZN231208P00131000,2023-12-07 3:26PM EST,131.0,0.01,0.0,0.01,0.0,-,30.0,705,78.13%,Put,2023-12-08,98
AMZN231208P00132000,2023-12-08 10:37AM EST,132.0,0.01,0.0,0.01,0.0,-,11.0,3612,71.88%,Put,2023-12-08,99
AMZN231208P00133000,2023-12-07 2:45PM EST,133.0,0.01,0.0,0.01,0.0,-,18.0,5699,68.75%,Put,2023-12-08,100
AMZN231208P00135000,2023-12-08 10:10AM EST,135.0,0.01,0.0,0.01,0.0,-,26.0,2403,59.38%,Put,2023-12-08,102
AMZN231208P00136000,2023-12-08 10:31AM EST,136.0,0.01,0.0,0.01,0.0,-,14.0,1322,53.13%,Put,2023-12-08,103
AMZN231208P00137000,2023-12-08 10:29AM EST,137.0,0.01,0.0,0.01,0.0,-,118.0,5954,50.00%,Put,2023-12-08,104
AMZN231208P00138000,2023-12-08 9:49AM EST,138.0,0.01,0.0,0.01,0.0,-,27.0,2518,48.44%,Put,2023-12-08,105
AMZN231208P00139000,2023-12-08 10:47AM EST,139.0,0.01,0.0,0.01,0.0,-,149.0,3476,42.97%,Put,2023-12-08,106
AMZN231208P00140000,2023-12-08 10:47AM EST,140.0,0.01,0.01,0.01,-0.02,-66.67%,394.0,20945,38.28%,Put,2023-12-08,107
AMZN231208P00141000,2023-12-08 10:53AM EST,141.0,0.02,0.01,0.02,-0.02,-50.00%,777.0,8090,36.33%,Put,2023-12-08,108
AMZN231208P00142000,2023-12-08 10:48AM EST,142.0,0.02,0.01,0.02,-0.03,-60.00%,631.0,8390,30.47%,Put,2023-12-08,109
AMZN231208P00143000,2023-12-08 10:46AM EST,143.0,0.02,0.01,0.02,-0.08,-80.00%,1245.0,4843,25.00%,Put,2023-12-08,110
AMZN231208P00144000,2023-12-08 10:53AM EST,144.0,0.03,0.03,0.04,-0.14,-82.35%,2114.0,7091,21.68%,Put,2023-12-08,111
AMZN231208P00145000,2023-12-08 10:55AM EST,145.0,0.06,0.06,0.07,-0.26,-81.25%,11248.0,9337,17.19%,Put,2023-12-08,112
AMZN231208P00146000,2023-12-08 10:53AM EST,146.0,0.21,0.22,0.23,-0.39,-65.00%,8532.0,10276,15.53%,Put,2023-12-08,113
AMZN231208P00147000,2023-12-08 10:54AM EST,147.0,0.69,0.7,0.72,-0.37,-34.91%,6056.0,7183,16.36%,Put,2023-12-08,114
AMZN231208P00148000,2023-12-08 10:52AM EST,148.0,1.52,1.38,1.48,-0.13,-7.88%,1198.0,3129,16.60%,Put,2023-12-08,115
AMZN231208P00149000,2023-12-08 10:54AM EST,149.0,2.35,2.35,2.42,-0.1,-4.08%,421.0,1919,18.75%,Put,2023-12-08,116
AMZN231208P00150000,2023-12-08 10:46AM EST,150.0,3.75,3.35,3.45,0.43,+12.95%,41.0,1177,28.52%,Put,2023-12-08,117
